Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Tauranga,TRG,10,Christchurch International,CHC,14,Air New Zealand,5807.0,NZ5807,1,0,1
2025-03-15,2,Jinjiang,JJN,19,Hangzhou,HGH,13,SF Airlines,7067.0,O37067,1,0,1
2025-03-15,2,Auckland International,AKL,8,Palmerston North,PMR,0,Air New Zealand,5119.0,NZ5119,1,0,1
2025-03-15,2,Auckland International,AKL,8,Palmerston North,PMR,0,Singapore Airlines,4413.0,SQ4413,1,0,1
2025-03-15,2,Auckland International,AKL,13,Queenstown,ZQN,0,Jetstar,299.0,JQ299,1,0,1
2025-03-15,2,Auckland International,AKL,13,Queenstown,ZQN,0,Qantas,5823.0,QF5823,1,0,1
2025-03-15,2,Auckland International,AKL,13,Queenstown,ZQN,0,Emirates,7571.0,EK7571,1,0,1
2025-03-15,2,Auckland International,AKL,13,Queenstown,ZQN,0,American Airlines,9041.0,AA9041,1,0,1
2025-03-15,2,Woodbourne Air Station,BHE,5,Wellington International,WLG,0,Sounds Air,212.0,S8212,1,0,1
2025-03-15,2,Francisco Bangoy International,DVO,76,Ninoy Aquino International,MNL,36,Cebu Pacific Air,954.0,5J954,-1,0,1
2025-03-15,2,Francisco Bangoy International,DVO,15,Ninoy Aquino International,MNL,0,Cebu Pacific Air,976.0,5J976,1,0,1
2025-03-15,2,Ninoy Aquino International,MNL,13,Suvarnabhumi International,BKK,0,Cebu Pacific Air,931.0,5J931,1,0,1
2025-03-15,2,Darwin,DRW,16,Melbourne - Tullamarine Airport,MEL,0,Qantas,839.0,QF839,1,0,1
2025-03-15,2,Darwin,DRW,16,Melbourne - Tullamarine Airport,MEL,0,Air New Zealand,7839.0,NZ7839,1,0,1
2025-03-15,2,Darwin,DRW,16,Melbourne - Tullamarine Airport,MEL,0,Cathay Pacific,9042.0,CX9042,1,0,1
2025-03-15,2,Darwin,DRW,16,Melbourne - Tullamarine Airport,MEL,0,China Eastern Airlines,4103.0,MU4103,1,0,1
2025-03-15,2,Nelson,NSN,22,Wellington International,WLG,8,Sounds Air,330.0,S8330,1,0,1
2025-03-15,2,Kununurra,KNX,17,Broome,BME,12,Thai AirAsia,608.0,FD608,1,0,1
2025-03-15,2,Wellington International,WLG,8,Nelson,NSN,2,Sounds Air,359.0,S8359,1,0,1
2025-03-15,2,Vladivostok,VVO,36,Harbin,HRB,19,Aurora,5472.0,HZ5472,-1,0,1
2025-03-15,2,Vladivostok,VVO,5,Beijing Daxing International Airport,PKX,2,Rossiya Airlines,6611.0,FV6611,1,0,1
2025-03-15,2,Guangzhou Baiyun International,CAN,60,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,31,SF Airlines,7911.0,O37911,-1,0,1
2025-03-15,2,Sydney Bankstown,BWU,2,Canberra,CBR,1,Mandarin Airlines,950.0,AE950,1,0,1
2025-03-15,2,Madras International (Meenambakkam),MAA,6,Bandaranaike International,CMB,0,IndiGo,1171.0,6E1171,1,0,1
2025-03-15,2,Wellington International,WLG,2,Woodbourne Air Station,BHE,0,Sounds Air,215.0,S8215,1,0,1
2025-03-15,2,Geraldton,GET,31,Jandakot,JAD,0,Thai AirAsia,614.0,FD614,1,0,1
2025-03-15,2,Gladstone,GLT,8,Gladstone,GLT,0,empty,,,1,0,1
2025-03-15,2,Maroochydore,MCY,5,Canberra,CBR,17,empty,,,-1,0,1
2025-03-15,2,Brisbane International,BNE,16,Rockhampton,ROK,17,Thai AirAsia,471.0,FD471,-1,0,1
2025-03-15,2,Wellington International,WLG,3,Woodbourne Air Station,BHE,0,Sounds Air,281.0,S8281,1,0,1
2025-03-14,2,Salt Lake City International,SLC,17,Newark Liberty International,EWR,0,United Airlines,2315.0,UA2315,1,0,1
2025-03-14,2,Gen Belgrano,SLA,29,Aeroparque Jorge Newbery,AEP,1,Aerolineas Argentinas,1195.0,AR1195,1,0,1
2025-03-14,2,Gen Belgrano,SLA,29,Aeroparque Jorge Newbery,AEP,1,LATAM Airlines,8380.0,LA8380,1,0,1
2025-03-14,2,Saidpur,SPD,25,Zia International,DAC,2,Biman Bangladesh Airlines,492.0,BG492,1,0,1
2025-03-14,2,Ninoy Aquino International,MNL,17,Iloilo International,ILO,0,China Airlines,8943.0,CI8943,1,0,1
2025-03-14,2,Changchun,CGQ,2,Weihai,WEH,0,Chengdu Airlines,2722.0,EU2722,1,0,1
2025-03-14,2,Changchun,CGQ,13,Shanghai Pudong International,PVG,0,Shanghai Airlines,9068.0,FM9068,1,0,1
